,Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Games,Possesions/Game,Possesions,Adj_Point_Differential,Adj_Point_Differential_82,Adjusted_Win_Pct
15,16,Miami Heat,E,SE,40,32,0.556,0.03,112.12,111.98,0.13,-0.06,112.09,112.06,0.03,72,99.0,7128.0,9.2664,10.5534,0.5032134795448319
16,17,Indiana Pacers,E,C,34,38,0.47200000000000003,-0.04,112.98,112.96,0.02,-0.12,112.99,113.07,-0.08,72,101.1,7279.2,1.45584,1.65804,0.49980663713102924
17,18,New Orleans Pelicans,W,SW,31,41,0.431,-0.29,114.47,114.78,-0.32,-0.2,114.52,114.73,-0.21,72,100.6,7243.2,-23.178240000000002,-26.397440000000003,0.48906164207702435
18,19,Toronto Raptors,E,A,27,45,0.375,-0.47,112.96,113.44,-0.48,-0.54,113.0,113.55,-0.56,72,99.5,7164.0,-34.3872,-39.163199999999996,0.48417247147432524
19,20,Chicago Bulls,E,C,31,41,0.431,-0.89,111.9,112.81,-0.91,-0.94,111.9,112.87,-0.97,72,101.3,7293.599999999999,-66.37176,-75.59006,0.470221313606667
20,21,San Antonio Spurs,W,SW,33,39,0.45799999999999996,-1.74,111.61,113.35,-1.74,-1.58,111.59,113.17,-1.57,72,103.6,7459.2,-129.79008,-147.81647999999998,0.4425592480968814
21,22,Washington Wizards,E,SE,34,38,0.47200000000000003,-1.83,111.75,113.63,-1.88,-1.84,111.79,113.69,-1.91,72,101.1,7279.2,-136.84896,-155.85576,0.4394802765790974
22,23,Charlotte Hornets,E,SE,33,39,0.45799999999999996,-1.93,111.62,113.69,-2.07,-1.94,111.66,113.75,-2.08,72,104.6,7531.2,-155.89584,-177.54804,0.4311723295644646
23,24,Sacramento Kings,W,P,31,41,0.431,-3.68,114.4,118.0,-3.6,-3.45,114.59,117.94,-3.36,72,103.6,7459.2,-268.5312,-305.8272,0.3820425716800192
24,25,Detroit Pistons,E,C,20,52,0.278,-4.47,108.9,113.53,-4.63,-4.38,108.93,113.48,-4.55,72,102.6,7387.2,-342.02736,-389.53115999999994,0.34998471217447447
25,26,Minnesota Timberwolves,W,NW,23,49,0.319,-5.56,110.18,115.55,-5.36,-5.25,110.26,115.31,-5.05,72,104.1,7495.2,-401.74272,-457.54032,0.32393781909593766
26,27,Houston Rockets,W,SW,17,55,0.23600000000000002,-7.9,107.85,115.69,-7.84,-7.5,107.93,115.35,-7.42,72,104.5,7524.0,-589.8815999999999,-671.8095999999999,0.24187462310623492
27,28,Cleveland Cavaliers,E,C,22,50,0.306,-8.44,106.85,115.65,-8.8,-8.19,106.96,115.51,-8.55,72,99.7,7178.400000000001,-631.6992000000001,-719.4352000000001,0.22363444912083114
28,29,Orlando Magic,E,SE,21,51,0.292,-9.31,105.74,115.22,-9.48,-9.02,105.83,115.03,-9.2,72,101.9,7336.8,-695.52864,-792.12984,0.19579305958649906
29,30,Oklahoma City Thunder,W,NW,22,50,0.306,-10.64,104.32,114.8,-10.48,-10.13,104.36,114.32,-9.96,72,101.1,7279.2,-762.8601600000001,-868.8129600000001,0.16642411829140574
